ProductName,Rating,Price,OriginalPrice,Discount,Reviews,Features,PageNumber,Ratings1,Reviews1,Number_Ratings,Number_Reviews,Brand,Ton,Star,AC_Type,Power_Usage,Room_Size
"TCL 2026 Model 1.5 Ton 5 Star Split Inverter 7 Step Convertible with Powerful and Fast cooling, 4 Ways...",3.6,33990,71991,52,247 Ratings & 44 Reviews,"Annual Power Usage: 688.04 kWhRoom Size: 111 - 150 sqft1 year warranty on product,5 Years on PCB and 10 Years on the Compressor",14,247 Ratings , 44 Reviews,247,44,TCL,1.5,5.0,Split,688.04,111 - 150 sqft
Godrej 2024 Model 1.5 Ton 5 Star Split Inverter 5-In-1 Convertible with Heavy Duty Cooling at Extreme ...,4.0,36000,56500,36,"12,566 Ratings & 1,206 Reviews","Annual Power Usage: 728.37 UnitsRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 30 days of purchase) and 10 Years Warranty on Compressor",14,"12,566 Ratings "," 1,206 Reviews",12566,1206,Godrej,1.5,5.0,Split,728.37,111 - 150 sqft
Lloyd 2024 Model 1 Ton 3 Star Split Inverter AC,4.0,29448,50329,41,"5,114 Ratings & 551 Reviews","Annual Power Usage: 700.06 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product, 5 Year Warranty on Component & 10 Year Warranty on Compressor.",14,"5,114 Ratings ", 551 Reviews,5114,551,Lloyd,1.0,3.0,Split,700.06,90 sqft
Whirlpool 2025 Model 1.5 Ton 3 Star Split Inverter AC,4.1,29990,57155,47,"30,027 Ratings & 3,540 Reviews","Annual Power Usage: 941.42 kWhRoom Size: 111 - 150 sqft1 Year Warranty On Product, 5 Year Warranty On Compressor",14,"30,027 Ratings "," 3,540 Reviews",30027,3540,Whirlpool,1.5,3.0,Split,941.42,111 - 150 sqft
Blue Star 2025 Model 1.5 Ton 5 Star Split Inverter with Wi-fi AC,4.1,40990,69100,40,"15,220 Ratings & 1,237 Reviews",Annual Power Usage: 783.33 kWhRoom Size: 111 - 150 sqft60 months for those customers who purchase Blue Star Split ACs (Inverter or Fixed Speed SACs) of Tonnage up to 2 Tr from 16th February 2026 to 30th June 2026.,14,"15,220 Ratings "," 1,237 Reviews",15220,1237,Blue,1.5,5.0,Split,783.33,111 - 150 sqft
Voltas 2026 Model 1.5 Ton 5 Star Window Inverter AC,4.3,36990,49000,24,"8,589 Ratings & 892 Reviews",Room Size: 111 - 150 sqft,14,"8,589 Ratings ", 892 Reviews,8589,892,Voltas,1.5,5.0,Window,854.39,111 - 150 sqft
"LG 2025 Model 2 Ton 3 Star Split AI Dual Inverter AI Convertible 6-in-1, with Faster Cooling and Energ...",4.1,47990,95990,50,"1,559 Ratings & 116 Reviews","Annual Power Usage: 1218.49 WRoom Size: 151 - 200 sqft1 Year Comprehensive Warranty on Product, 5 Year on PCB and Motor & 10 Year on Compressor (Free Gas charging during comprehensive warranty period only)",14,"1,559 Ratings ", 116 Reviews,1559,116,LG,2.0,3.0,Split,1218.49,151 - 200 sqft
LG 2025 Model 1 Ton 5 Star Split AI Dual Inverter AI Convertible 6-in-1 Split with Faster Cooling and ...,4.1,36990,69990,47,"7,602 Ratings & 794 Reviews","Annual Power Usage: 515.84 kWhRoom Size: 90 sqft or Below1 Year Warranty on Product,5 year on Pcb and 10 Years Warranty on Compressor",14,"7,602 Ratings ", 794 Reviews,7602,794,LG,1.0,5.0,Split,515.84,90 sqft
Lloyd 2022 Model 1 Ton 5 Star Split Inverter AC,4.0,31490,58990,46,"1,286 Ratings & 110 Reviews",Annual Power Usage: 533.89 UnitsRoom Size: 90 sqft or Below1 Year Comprehensive Warranty on Product and 10 Years Warranty on Compressor,14,"1,286 Ratings ", 110 Reviews,1286,110,Lloyd,1.0,5.0,Split,533.89,90 sqft
Voltas 2022 Model 1.5 Ton 3 Star Window Inverter AC,4.2,28599,45999,37,"12,494 Ratings & 1,225 Reviews",Annual Power Usage: 1204.98 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,14,"12,494 Ratings "," 1,225 Reviews",12494,1225,Voltas,1.5,3.0,Window,1204.98,111 - 150 sqft
Voltas 2022 Model 1.5 Ton 2 Star Split Fixed Speed AC,4.2,35899,42990,16,823 Ratings & 107 Reviews,Annual Power Usage: 1122.45 UnitsRoom Size: 111 - 150 sqft1 Year Comprehensive Warranty On Product,14,823 Ratings , 107 Reviews,823,107,Voltas,1.5,2.0,Split,1122.45,111 - 150 sqft
Godrej 2023 Model 1.5 Ton 5 Star Split Inverter AC,4.0,34009,60500,43,"12,566 Ratings & 1,206 Reviews",Annual Power Usage: 765.86 UnitsRoom Size: 111 - 150 sqft1 Year Warranty on Product and 10 Years Warranty on Compressor,14,"12,566 Ratings "," 1,206 Reviews",12566,1206,Godrej,1.5,5.0,Split,765.86,111 - 150 sqft
"Godrej 2025 Model 1.5 Ton 3 Star Split Inverter AI Powered, 5-In-1 Convertible, Heavy Duty Cooling At ...",4.0,29490,45900,35,"22,727 Ratings & 1,770 Reviews","Annual Power Usage: 983.99 kWhRoom Size: 111 - 150 sqft5 Years Warranty on Whole Product (Valid on sales post 1 Sep 2024, warranty can be availed after registering on Brand website within 7 days of purchase) and 10 Years Warranty on Compressor",14,"22,727 Ratings "," 1,770 Reviews",22727,1770,Godrej,1.5,3.0,Split,983.99,111 - 150 sqft
Haier 2024 Model 1 Ton 3 Star Split Triple Inverter AC,3.8,32500,58500,44,"3,318 Ratings & 266 Reviews",Annual Power Usage: 697.66 UnitsRoom Size: 90 sqft or Below1 Year Warranty on Product and 10 Years Warranty on Compressor,14,"3,318 Ratings ", 266 Reviews,3318,266,Haier,1.0,3.0,Split,697.66,90 sqft
"LG 2026 Model 1 tons 4 Star Split Dual Inverter Faster Cooling and Energy Saving, AI Convertible 6-in-...",3.8,37690,68990,45,206 Ratings & 30 Reviews,"Annual Power Usage: 515.84 kWhRoom Size: 90 sqft or BelowManufacturer Warranty: 1 Year Comprehensive on Product, 5 Year on PCB and Motor & 10 Year on Compressor (*Free Gas charging during comprehensive period only .",14,206 Ratings , 30 Reviews,206,30,LG,1.5,4.0,Split,515.84,90 sqft
